manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,Unnamed: 29,Unnamed: 30,Unnamed: 31
althaus,,Arduino Esplora (Rev4),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardEsplora,,,,imported_from_fritzing,,,
fabian althaus,,Arduino Ethernet Shield (Rev3),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/de/Main/ArduinoEthernetShield,,,,imported_from_fritzing,,,
althaus,,Arduino Fio (Funnel I/O),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardFio,,,,imported_from_fritzing,,,
SparkFun,,Arduino GPS Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10102,,,,imported_from_fritzing,,,
f.althaus,,Arduino GSM Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoGSMShield,,,,imported_from_fritzing,,,
Fabian Althaus,,Arduino Intel Galileo Shield/2 PCB,Controller,controller,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Fabian Althaus,,Arduino Intel Galileo Shield PCB,Controller,controller,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
SparkFun,,Arduino Joystick Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9490,,,,imported_from_fritzing,,,
althaus,,Arduino Leonardo (Rev3b),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardLeonardo,,,,imported_from_fritzing,,,
Arduino,Mega 2560,Arduino Mega 2560,controller,arduino_mega,,,embedded_platform,5,5,,,,I2C|SPI|UART|ADC|GPIO,,,,,,,,,,,,https://a.co/d/cT2LOo,,,,,,
althaus,,Arduino Mega 2560 (Rev3),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardMega2560,,,,imported_from_fritzing,,,
althaus,,Arduino Mega ADK (Rev3),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardADK,,,,imported_from_fritzing,,,
f.althaus,,Arduino Mega Pro 3.3V,Controller,controller,,,,3.3,3.3,,,,,,,,,,,,,,,https://www.sparkfun.com/products/10744,,,,imported_from_fritzing,,,
SparkFun,,Arduino Mega Proto Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9346,,,,imported_from_fritzing,,,
jonathan,,Arduino Mega Proto Shield (v6),Controller,controller,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
KingDarBoja,,Arduino Mega Sensor Shield v2.0,Sensor,controller,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Fabian Althaus,,Arduino Mega Shield PCB,Controller,controller,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Stefan Hermann,,Arduino Mega Shield PCB,Controller,controller,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
