manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,logic_level,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,package_case,pin_count,temp_min_c,temp_max_c,clock_mhz
www.fritzing.org,nan,LCD-16X2,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LCD_BACKLIGHT_PADS,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LCD_CFAX,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Lionel Michel,nan,LCD screen,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Generic,nan,LDR Module (Photoresistor),sensor,light,illuminance,,room_air,,,,,,ADC,,,,,,,,,,,,,,,Analog divider output,,,,,,
f.althaus,nan,LED BadgerArray,actuator,led,,,,,,,,,,,,,,,,,,,,,https://learn.sparkfun.com/tutorials/badgerhack,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LED_BARGRAPH_10,actuator,led,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stefan Hermann,nan,LED Dot Matrix 18mm (0.7 INCH),actuator,led,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,LED Matrix - Serial Interface - Red/Green/Blue,actuator,led,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/760,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LED_RING,actuator,led,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LEDs,actuator,led,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SFE and Fritzing,nan,LED Tactile Button Breakout v10,actuator,led,,,,,,,,,,,,,,,,,,,,,https://www.sparkfun.com/products/10467,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,LilyPad Accelerometer ADXL335,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9267,,,,imported_from_fritzing,,,,,
f.althaus,nan,Lilypad Arduino Board,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardLilyPad,,,,imported_from_fritzing,,,,,
althaus,nan,LilyPad Arduino Simple Board,controller,controller,,,,,,,,,,,,,,,,,,,,,https://www.sparkfun.com/products/10274,,,,imported_from_fritzing,,,,,
althaus,nan,LilyPad Arduino USB,controller,controller,,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardLilyPadUSB,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,Lilypad Battery Connect,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10083,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,LilyPad Button Board,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8776,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,LilyPad Buzzer,actuator,actuator,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8463,,,,imported_from_fritzing,,,,,
f.althaus,nan,LilyPad Coin Cell Battery Holder,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10730,,,,imported_from_fritzing,,,,,
f.althaus,nan,LilyPad LED,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10081,,,,imported_from_fritzing,,,,,
f.althaus,nan,LilyPad Light Sensor,sensor,light,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8464,,,,imported_from_fritzing,,,,,
f.althaus,nan,LilyPad LiPower,controller,arduino,,,,,,,,,,,,,,,,,,,,,https://www.sparkfun.com/products/11260,,,,imported_from_fritzing,,,,,
f.althaus,nan,Lilypad Power Supply,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/11259,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,LilyPad Simple Power,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10085,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,LilyPad Slide Switch,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9350,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,LilyPad Temperature Sensor,sensor,sensor,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8777,,,,imported_from_fritzing,,,,,
Fabian Althaus,nan,LilyPad Tri-Color LED,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8467,,,,imported_from_fritzing,,,,,
J.A. Korten - JKSOFT Educational,nan,Lilypad Vibe Motor,actuator,generic,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
f.althaus,nan,LilyPad XBee,controller,arduino,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8937,,,,imported_from_fritzing,,,,,
Generic,nan,Limit Switch (Endstop),sensor,contact,mechanical_limit,,garage_door,,,,,,GPIO,,,,,,,,,,,,https://a.co/d/2GAOnEG,,,,,,,,,
www.fritzing.org,nan,LIPO-1000mAh,power,battery,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LIPO-110mAh,power,battery,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LIPO-2000mAh,power,battery,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LIS302DL,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LIS331,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LIS3LV02DQ,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stefan Hermann,nan,LM34 Temperature Sensor,sensor,sensor,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Stefan Hermann,nan,LM35 Temperature Sensor,sensor,sensor,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,Logic Level Converter,power,regulator,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8745,,,,imported_from_fritzing,,,,,
Lionel Michel,nan,Loudspeaker,actuator,buzzer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,LSM303 Breakout Board - Tilt-Compensated Compass,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9810,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,Luxeon LED,sensor,light,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LUXEON-REBEL,sensor,light,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Christopher Mann,nan,M5450 LED Driver,actuator,led,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,MAG3110,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,MAGJACK,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,MAGJACK-2,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,MAGJACK-POE,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,MAGNET,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,MAX1555 Lithium Charger IC,power,charger,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
